4.271900000000000000e+04,5.940000000000000000e+02
4.321000000000000000e+04,4.300000000000000000e+02
4.269000000000000000e+04,6.170000000000000000e+02
4.331500000000000000e+04,3.600000000000000000e+02
4.312900000000000000e+04,4.540000000000000000e+02
4.350100000000000000e+04,3.480000000000000000e+02
4.279500000000000000e+04,5.470000000000000000e+02
4.309100000000000000e+04,4.880000000000000000e+02
4.239100000000000000e+04,6.870000000000000000e+02
4.290500000000000000e+04,5.000000000000000000e+02
